I0,I1,I2,I3
29884.000000,39.000000,0.000000,0.000000
29923.000000,39.000000,0.000000,0.000000
29962.000000,39.000000,0.000000,0.000000
30001.000000,39.000000,0.000000,0.000000
30040.000000,39.000000,0.000000,0.000000
30080.000000,40.000000,0.000000,0.000000
30118.000000,38.000000,0.000000,0.000000
30158.000000,39.000000,0.000000,0.000000
30197.000000,40.000000,0.000000,0.000000
30236.000000,39.000000,0.000000,0.000000
30275.000000,38.000000,0.000000,0.000000
30314.000000,40.000000,0.000000,0.000000
30353.000000,39.000000,0.000000,0.000000
30392.000000,39.000000,0.000000,0.000000
30432.000000,40.000000,0.000000,0.000000
30470.000000,38.000000,0.000000,0.000000
30510.000000,40.000000,0.000000,0.000000
30549.000000,39.000000,0.000000,0.000000
30588.000000,39.000000,0.000000,0.000000
30627.000000,39.000000,0.000000,0.000000
30666.000000,39.000000,0.000000,0.000000
30705.000000,39.000000,0.000000,0.000000
30744.000000,39.000000,0.000000,0.000000
30784.000000,40.000000,0.000000,0.000000
30823.000000,39.000000,0.000000,0.000000
30862.000000,39.000000,0.000000,0.000000
30901.000000,39.000000,0.000000,0.000000
30940.000000,39.000000,0.000000,0.000000
30980.000000,39.000000,0.000000,0.000000
31019.000000,39.000000,0.000000,0.000000
31058.000000,40.000000,0.000000,0.000000
31097.000000,39.000000,0.000000,0.000000
31136.000000,39.000000,0.000000,0.000000
31175.000000,39.000000,0.000000,0.000000
31214.000000,39.000000,0.000000,0.000000
31253.000000,39.000000,0.000000,0.000000
31293.000000,39.000000,0.000000,0.000000
31332.000000,40.000000,0.000000,0.000000
31371.000000,39.000000,0.000000,0.000000
31410.000000,39.000000,0.000000,0.000000
31449.000000,39.000000,0.000000,0.000000
31488.000000,39.000000,0.000000,0.000000
31528.000000,40.000000,0.000000,0.000000
31566.000000,38.000000,0.000000,0.000000
31606.000000,40.000000,0.000000,0.000000
31645.000000,39.000000,0.000000,0.000000
31684.000000,39.000000,0.000000,0.000000
31724.000000,39.000000,0.000000,0.000000
31762.000000,39.000000,0.000000,0.000000
31802.000000,40.000000,0.000000,0.000000
31841.000000,39.000000,0.000000,0.000000
31880.000000,39.000000,0.000000,0.000000
31919.000000,39.000000,0.000000,0.000000
31958.000000,39.000000,0.000000,0.000000
31997.000000,39.000000,0.000000,0.000000
32037.000000,40.000000,0.000000,0.000000
32076.000000,39.000000,0.000000,0.000000
32115.000000,39.000000,0.000000,0.000000
32154.000000,39.000000,0.000000,0.000000
32193.000000,39.000000,0.000000,0.000000
32233.000000,39.000000,0.000000,0.000000
32272.000000,40.000000,0.000000,0.000000
32311.000000,39.000000,0.000000,0.000000
32350.000000,39.000000,0.000000,0.000000
32389.000000,39.000000,0.000000,0.000000
32428.000000,39.000000,0.000000,0.000000
32468.000000,40.000000,0.000000,0.000000
32506.000000,38.000000,0.000000,0.000000
32546.000000,40.000000,0.000000,0.000000
32585.000000,39.000000,0.000000,0.000000
32624.000000,39.000000,0.000000,0.000000
32664.000000,40.000000,0.000000,0.000000
32702.000000,38.000000,0.000000,0.000000
32742.000000,40.000000,0.000000,0.000000
32781.000000,39.000000,0.000000,0.000000
32820.000000,39.000000,0.000000,0.000000
32859.000000,39.000000,0.000000,0.000000
32898.000000,39.000000,0.000000,0.000000
32937.000000,39.000000,0.000000,0.000000
32977.000000,40.000000,0.000000,0.000000
33016.000000,39.000000,0.000000,0.000000
33055.000000,39.000000,0.000000,0.000000
33094.000000,39.000000,0.000000,0.000000
33133.000000,39.000000,0.000000,0.000000
33173.000000,40.000000,0.000000,0.000000
33212.000000,39.000000,0.000000,0.000000
33251.000000,39.000000,0.000000,0.000000
33290.000000,39.000000,0.000000,0.000000
33329.000000,39.000000,0.000000,0.000000
33368.000000,39.000000,0.000000,0.000000
33408.000000,40.000000,0.000000,0.000000
33446.000000,38.000000,0.000000,0.000000
33486.000000,40.000000,0.000000,0.000000
33525.000000,39.000000,0.000000,0.000000
33564.000000,39.000000,0.000000,0.000000
33604.000000,40.000000,0.000000,0.000000
33642.000000,38.000000,0.000000,0.000000
33682.000000,40.000000,0.000000,0.000000
33721.000000,39.000000,0.000000,0.000000
33760.000000,39.000000,0.000000,0.000000
33799.000000,39.000000,0.000000,0.000000
33838.000000,39.000000,0.000000,0.000000
33878.000000,40.000000,0.000000,0.000000
33917.000000,39.000000,0.000000,0.000000
33956.000000,39.000000,0.000000,0.000000
33995.000000,39.000000,0.000000,0.000000
34034.000000,39.000000,0.000000,0.000000
34074.000000,40.000000,0.000000,0.000000
34113.000000,39.000000,0.000000,0.000000
34152.000000,39.000000,0.000000,0.000000
34192.000000,39.000000,0.000000,0.000000
34230.000000,39.000000,0.000000,0.000000
34270.000000,39.000000,0.000000,0.000000
34309.000000,40.000000,0.000000,0.000000
34348.000000,39.000000,0.000000,0.000000
34387.000000,39.000000,0.000000,0.000000
34426.000000,39.000000,0.000000,0.000000
34466.000000,39.000000,0.000000,0.000000
34505.000000,40.000000,0.000000,0.000000
34544.000000,39.000000,0.000000,0.000000
34583.000000,39.000000,0.000000,0.000000
34622.000000,39.000000,0.000000,0.000000
34662.000000,39.000000,0.000000,0.000000
34701.000000,39.000000,0.000000,0.000000
34740.000000,40.000000,0.000000,0.000000
34779.000000,39.000000,0.000000,0.000000
34818.000000,39.000000,0.000000,0.000000
34857.000000,39.000000,0.000000,0.000000
34897.000000,40.000000,0.000000,0.000000
34936.000000,39.000000,0.000000,0.000000
34975.000000,39.000000,0.000000,0.000000
35014.000000,39.000000,0.000000,0.000000
35053.000000,39.000000,0.000000,0.000000
35093.000000,40.000000,0.000000,0.000000
35132.000000,39.000000,0.000000,0.000000
35171.000000,39.000000,0.000000,0.000000
35210.000000,39.000000,0.000000,0.000000
35249.000000,39.000000,0.000000,0.000000
35289.000000,39.000000,0.000000,0.000000
35328.000000,40.000000,0.000000,0.000000
35367.000000,39.000000,0.000000,0.000000
35406.000000,39.000000,0.000000,0.000000
35445.000000,39.000000,0.000000,0.000000
35485.000000,39.000000,0.000000,0.000000
35524.000000,40.000000,0.000000,0.000000
35563.000000,39.000000,0.000000,0.000000
35602.000000,39.000000,0.000000,0.000000
35641.000000,39.000000,0.000000,0.000000
35680.000000,39.000000,0.000000,0.000000
35720.000000,40.000000,0.000000,0.000000
35759.000000,39.000000,0.000000,0.000000
35798.000000,39.000000,0.000000,0.000000
35837.000000,39.000000,0.000000,0.000000
35876.000000,39.000000,0.000000,0.000000
35916.000000,40.000000,0.000000,0.000000
35955.000000,39.000000,0.000000,0.000000
35994.000000,39.000000,0.000000,0.000000
36033.000000,39.000000,0.000000,0.000000
36072.000000,39.000000,0.000000,0.000000
36112.000000,40.000000,0.000000,0.000000
36150.000000,38.000000,0.000000,0.000000
36190.000000,40.000000,0.000000,0.000000
36229.000000,39.000000,0.000000,0.000000
36268.000000,39.000000,0.000000,0.000000
36308.000000,39.000000,0.000000,0.000000
36346.000000,39.000000,0.000000,0.000000
36386.000000,39.000000,0.000000,0.000000
36425.000000,39.000000,0.000000,0.000000
36464.000000,40.000000,0.000000,0.000000
36503.000000,39.000000,0.000000,0.000000
36542.000000,39.000000,0.000000,0.000000
36581.000000,39.000000,0.000000,0.000000
36620.000000,39.000000,0.000000,0.000000
36660.000000,40.000000,0.000000,0.000000
36699.000000,38.000000,0.000000,0.000000
36738.000000,40.000000,0.000000,0.000000
36777.000000,39.000000,0.000000,0.000000
36816.000000,39.000000,0.000000,0.000000
36856.000000,39.000000,0.000000,0.000000
36895.000000,39.000000,0.000000,0.000000
36934.000000,40.000000,0.000000,0.000000
36973.000000,39.000000,0.000000,0.000000
37012.000000,39.000000,0.000000,0.000000
37052.000000,39.000000,0.000000,0.000000
37090.000000,39.000000,0.000000,0.000000
37129.000000,39.000000,0.000000,0.000000
37169.000000,40.000000,0.000000,0.000000
37208.000000,39.000000,0.000000,0.000000
37247.000000,39.000000,0.000000,0.000000
37286.000000,39.000000,0.000000,0.000000
37325.000000,39.000000,0.000000,0.000000
37364.000000,39.000000,0.000000,0.000000
37404.000000,40.000000,0.000000,0.000000
37443.000000,38.000000,0.000000,0.000000
37482.000000,40.000000,0.000000,0.000000
37521.000000,39.000000,0.000000,0.000000
37560.000000,39.000000,0.000000,0.000000
37600.000000,40.000000,0.000000,0.000000
37638.000000,38.000000,0.000000,0.000000
37678.000000,40.000000,0.000000,0.000000
37717.000000,39.000000,0.000000,0.000000
37756.000000,39.000000,0.000000,0.000000
37795.000000,39.000000,0.000000,0.000000
37834.000000,39.000000,0.000000,0.000000
37874.000000,39.000000,0.000000,0.000000
37913.000000,40.000000,0.000000,0.000000
37952.000000,39.000000,0.000000,0.000000
37991.000000,39.000000,0.000000,0.000000
38030.000000,39.000000,0.000000,0.000000
38069.000000,39.000000,0.000000,0.000000
38109.000000,40.000000,0.000000,0.000000
38148.000000,39.000000,0.000000,0.000000
38187.000000,39.000000,0.000000,0.000000
38226.000000,39.000000,0.000000,0.000000
38266.000000,39.000000,0.000000,0.000000
38305.000000,40.000000,0.000000,0.000000
38344.000000,39.000000,0.000000,0.000000
38383.000000,39.000000,0.000000,0.000000
38422.000000,39.000000,0.000000,0.000000
38462.000000,39.000000,0.000000,0.000000
38501.000000,40.000000,0.000000,0.000000
38540.000000,39.000000,0.000000,0.000000
38579.000000,39.000000,0.000000,0.000000
38618.000000,39.000000,0.000000,0.000000
38657.000000,39.000000,0.000000,0.000000
38696.000000,39.000000,0.000000,0.000000
38736.000000,40.000000,0.000000,0.000000
38775.000000,39.000000,0.000000,0.000000
38814.000000,39.000000,0.000000,0.000000
38853.000000,39.000000,0.000000,0.000000
38892.000000,39.000000,0.000000,0.000000
38932.000000,40.000000,0.000000,0.000000
38971.000000,38.000000,0.000000,0.000000
39010.000000,40.000000,0.000000,0.000000
39049.000000,39.000000,0.000000,0.000000
39088.000000,39.000000,0.000000,0.000000
39128.000000,40.000000,0.000000,0.000000
39166.000000,38.000000,0.000000,0.000000
39206.000000,39.000000,0.000000,0.000000
39245.000000,40.000000,0.000000,0.000000
39284.000000,39.000000,0.000000,0.000000
39323.000000,39.000000,0.000000,0.000000
39362.000000,39.000000,0.000000,0.000000
39402.000000,39.000000,0.000000,0.000000
39441.000000,39.000000,0.000000,0.000000
39480.000000,40.000000,0.000000,0.000000
39519.000000,39.000000,0.000000,0.000000
39558.000000,39.000000,0.000000,0.000000
39597.000000,39.000000,0.000000,0.000000
39636.000000,39.000000,0.000000,0.000000
39676.000000,40.000000,0.000000,0.000000
39715.000000,39.000000,0.000000,0.000000
39754.000000,39.000000,0.000000,0.000000
39793.000000,39.000000,0.000000,0.000000
39833.000000,40.000000,0.000000,0.000000
39872.000000,39.000000,0.000000,0.000000
39911.000000,39.000000,0.000000,0.000000
39950.000000,39.000000,0.000000,0.000000
39989.000000,39.000000,0.000000,0.000000
40029.000000,40.000000,0.000000,0.000000
40068.000000,39.000000,0.000000,0.000000
40108.000000,39.000000,0.000000,0.000000
40146.000000,39.000000,0.000000,0.000000
40186.000000,40.000000,0.000000,0.000000
40225.000000,39.000000,0.000000,0.000000
40264.000000,39.000000,0.000000,0.000000
40304.000000,40.000000,0.000000,0.000000
40343.000000,38.000000,0.000000,0.000000
40382.000000,40.000000,0.000000,0.000000
40421.000000,39.000000,0.000000,0.000000
40460.000000,39.000000,0.000000,0.000000
40500.000000,40.000000,0.000000,0.000000
40539.000000,39.000000,0.000000,0.000000
40578.000000,39.000000,0.000000,0.000000
40617.000000,39.000000,0.000000,0.000000
40657.000000,40.000000,0.000000,0.000000
40696.000000,39.000000,0.000000,0.000000
40735.000000,39.000000,0.000000,0.000000
40774.000000,39.000000,0.000000,0.000000
40814.000000,40.000000,0.000000,0.000000
40853.000000,39.000000,0.000000,0.000000
40892.000000,39.000000,0.000000,0.000000
40932.000000,39.000000,0.000000,0.000000
40970.000000,39.000000,0.000000,0.000000
41010.000000,40.000000,0.000000,0.000000
41049.000000,39.000000,0.000000,0.000000
41088.000000,39.000000,0.000000,0.000000
41128.000000,40.000000,0.000000,0.000000
41167.000000,39.000000,0.000000,0.000000
41206.000000,39.000000,0.000000,0.000000
41245.000000,39.000000,0.000000,0.000000
41285.000000,40.000000,0.000000,0.000000
41324.000000,39.000000,0.000000,0.000000
41364.000000,39.000000,0.000000,0.000000
41402.000000,39.000000,0.000000,0.000000
41442.000000,39.000000,0.000000,0.000000
41481.000000,40.000000,0.000000,0.000000
41520.000000,39.000000,0.000000,0.000000
41560.000000,40.000000,0.000000,0.000000
41598.000000,38.000000,0.000000,0.000000
41638.000000,40.000000,0.000000,0.000000
41677.000000,39.000000,0.000000,0.000000
41716.000000,39.000000,0.000000,0.000000
41756.000000,40.000000,0.000000,0.000000
41795.000000,39.000000,0.000000,0.000000
